timeC,obsC,timeI,obsI,obsI.1,obsI.2,obsI.3,cv.obsI,cv.obsI.1,cv.obsI.2,cv.obsI.3,recons
1972,15,1972,NA,NA,NA,NA,NA,NA,NA,NA,21
1973,22,1973,NA,NA,NA,NA,NA,NA,NA,NA,29
1974,161,1974,NA,NA,NA,NA,NA,NA,NA,NA,168
1975,97,1975,NA,NA,NA,NA,NA,NA,NA,NA,106
1976,12,1976,NA,NA,NA,NA,NA,NA,NA,NA,22
1977,188,1977,NA,131.3490038,NA,NA,NA,0.091777785,NA,NA,197
1978,196,1978,NA,85.51011844,NA,NA,NA,0.123492691,NA,NA,196
1979,233,1979,NA,76.84476141,NA,NA,NA,0.248459166,NA,NA,233
1980,658,1980,NA,57.51429796,NA,NA,NA,0.13300246,NA,NA,658
1981,947,1981,NA,35.55734042,NA,NA,NA,0.095949601,NA,NA,957
1982,142,1982,NA,36.50688214,NA,NA,NA,0.106250638,NA,NA,150
1983,220,1983,NA,32.85012007,NA,NA,NA,0.083665541,NA,NA,220
1984,937,1984,NA,20.95413509,NA,NA,NA,0.192432262,NA,NA,937
1985,902,1985,NA,23.35333274,NA,NA,NA,0.120697685,NA,NA,902
1986,741,1986,3.593828375,37.20557838,NA,NA,0.213071637,0.112817501,NA,NA,759
1987,413,1987,5.868943474,46.32344217,NA,NA,0.08708444,0.101102978,NA,NA,413
1988,549,1988,2.322509398,30.62314975,NA,NA,0.365325048,0.088951001,NA,NA,573
1989,560,1989,1.847546674,54.56263277,NA,NA,0.454096994,0.123855688,NA,NA,589
1990,602,1990,NA,30.63627993,NA,NA,NA,0.092059749,NA,NA,634
1991,896,1991,NA,32.44003367,NA,NA,NA,0.168208167,NA,NA,928
1992,761,1992,0.982543703,25.15522413,NA,NA,0.636648203,0.090210789,NA,NA,798
1993,591,1993,1.094393972,52.09650478,NA,NA,0.68683728,0.139919757,NA,NA,628
1994,309,1994,2.058005139,30.59451134,NA,NA,0.416868692,0.109080457,NA,NA,350
1995,321,1995,2.639433251,51.05336731,NA,NA,0.365863154,0.079439556,NA,NA,362
1996,216,1996,1.087573119,70.83033721,NA,NA,0.659069409,0.113661949,NA,NA,256
1997,152,1997,1.01932516,NA,NA,2.753748493,0.638072853,NA,NA,NA,152
1998,77,1998,1.049875035,NA,NA,2.579564102,0.641565057,NA,NA,NA,77
1999,66,1999,NA,NA,NA,0.666865894,NA,NA,NA,0.267642406,66
2000,66,2000,NA,NA,NA,2.176213902,NA,NA,NA,0.299011782,66
2001,39,2001,NA,NA,NA,0.937844299,NA,NA,NA,0.532564094,39
2002,63,2002,NA,NA,NA,1.335936885,NA,NA,NA,0.643760289,63
2003,52,2003,NA,NA,NA,NA,NA,NA,NA,NA,52
2004,31,2004,NA,NA,2.325145311,NA,NA,NA,0.545917707,NA,31
2005,41,2005,NA,NA,1.175016372,NA,NA,NA,0.313997614,NA,41
2006,35,2006,NA,NA,1.622684089,NA,NA,NA,0.126697111,NA,35
2007,36,2007,NA,NA,NA,NA,NA,NA,NA,NA,36
2008,39,2008,NA,NA,NA,NA,NA,NA,NA,NA,39
2009,33,2009,NA,NA,1.010851374,NA,NA,NA,0.444741813,NA,33
2010,24,2010,NA,NA,1.751149211,NA,NA,NA,0.622948776,NA,24
2011,25,2011,NA,NA,2.346163396,NA,NA,NA,0.195124869,NA,25
2012,26,2012,NA,NA,NA,NA,NA,NA,NA,NA,26
2013,26,2013,NA,NA,NA,NA,NA,NA,NA,NA,26
2014,31,2014,NA,NA,NA,NA,NA,NA,NA,NA,31
2015,34,2015,NA,NA,NA,NA,NA,NA,NA,NA,34
2016,29,2016,NA,NA,NA,NA,NA,NA,NA,NA,29
2017,27,2017,NA,NA,NA,NA,NA,NA,NA,NA,27
2018,25,2018,NA,NA,NA,NA,NA,NA,NA,NA,25